Name,mean_petals_binary_less10,mean_petals_binary_more25,mean_petals,PCo1,PCo2,PCo3,PCo4,PCo5
adam_F4,0,1,51,-202.6184496869,-83.6870111851,61.1038639915,145.130519885,27.7608808861
adam_messerich_A8,0,1,32.2,-51.1563308714,-54.4692334194,56.4131567276,-15.0791835472,10.1349604312
adelaide_d_orleans_E10,0,0,22.2,-142.1343959304,23.7552921767,44.713053249,-4.3713908244,22.8471221005
aennchen_von_tharau_A2,0,1,53,-64.4359175272,-16.1663743105,-3.9889301892,-85.256792985,40.5122705685
aglaia_H10,0,1,30,-165.9628182191,31.5256831544,-35.7680670187,122.7578041964,50.9063974126
alberic_barbier_H5,0,1,82.6,-146.4102290436,25.0138158338,-24.0246161501,154.8993558515,49.9982295669
alfred_colomb_C3,0,1,65.8,-99.9636770875,-110.0149518455,25.0053055076,-117.2768666808,-5.4492218966
anna_maria_de_montravel_C9,0,0,22.8,-179.2871992043,142.1521351215,-154.3697378386,-44.3108946263,60.6813736416
antonia_d_ormois_C12,0,1,94.8,137.7437471347,67.8694658472,59.6802231305,13.2469908936,9.4069642742
ayrshire_queen_G1,0,1,36.6,-138.9991344876,-24.518259028,103.7225535389,25.5929342847,50.9513416935
baron_de_wassenaer_D4,0,1,32.4,34.8270472296,9.288689072,0.613487934,-56.2979026855,-38.5116761856
beau_narcisse_H5,0,1,66.6,6.3829106142,32.5379224204,48.9383684646,7.8531378454,32.0438161141
belle_de_baltimore_G5,0,1,68,-46.370964057,97.7267390444,-1.6056290005,59.4472983256,-148.4746297191
belle_herminie_B10,0,1,76.6666666667,144.9301676946,85.6952522638,77.6035761479,9.5519577091,31.9864910745
belle_isis_F7,0,1,92.6,139.8289366697,91.2040273786,76.0682982695,12.3486870135,29.3043333632
belvedere_G8,0,1,43.8,-76.3519874726,130.8225437345,-102.8359617424,56.5636230514,-57.1716291808
bijou_des_amateurs_A8,0,1,92,147.3416965264,84.0259619689,78.4771916564,7.5911173135,33.4108538361
blanc_pur_G4,0,1,40.75,-89.0531213765,-106.079852213,72.5739695733,68.4603116493,-38.6875102506
blush_damask_H1,0,1,101.2,155.4423176404,-13.7395700057,-7.3492834655,5.4757467161,-6.934541869
blush_hip_B3,0,1,42,44.6725582576,24.2437700997,51.119863752,-9.0672952929,-1.6729713737
bouquet_de_venus_D6,0,0,15,143.2546062951,87.1933009796,76.5833295985,9.9750634168,31.1618824828
camaieu_G12,0,1,51.8,145.3760012436,84.794197952,75.8071768418,10.7651915244,32.2162989146
capitaine_basroger_C1,0,1,52.4,-9.6409703009,-39.0188776137,78.1558559251,-36.9568411119,30.0774896456
celine_F12,0,1,53.2,-106.4983077772,-32.3700076422,-44.6809031428,-85.4473991763,-67.1071948491
charles_lawson_B4,0,1,108,-18.3485927783,-69.7651774033,66.2508710953,-75.6627755458,10.9659551497
charles_quint_B2,0,1,119.8,148.0193297961,74.2478012991,64.5437915802,12.9845822552,30.5009396221
chloris_F10,0,1,76.2,145.5297693833,6.9724318703,-14.8516113307,20.9061682861,19.0251400023
claire_jacquier_F8,0,1,52.6,-128.4170856786,-13.8461957942,10.0966256933,139.3906496408,-149.494956126
clementine_B4,0,1,44.2,136.9256351969,16.6214435856,19.7989959082,17.6094641693,-40.8728186625
clotilde_soupert_B11,0,1,48,-172.2810272375,124.8043034594,-134.3969250838,27.7446278686,59.8640448298
comtesse_de_murinais_E10,0,1,66.2,145.3383323215,-15.7486668934,-1.3549350685,5.3256325688,-46.9593889856
corporal_johann_nagy_D10,0,1,101.4,33.5114454476,47.1284873131,-22.2591358499,-56.4144950543,15.966927173
cramoisi_eblouissant_B6,0,0,20.6,143.4372728706,80.0495834365,67.6610825093,11.3418871616,29.6037128648
creme_H3,0,0,22.6,-34.1919635202,103.4083019275,-0.6329756694,67.5173157187,-136.2844795351
crimson_globe_B3,0,1,98.4,39.2057881783,0.3672783488,32.5575225043,-39.3846208289,7.4157051178
dawson_H1,0,0,14,-212.2285950718,125.265249108,-146.5194713021,-69.4039399671,46.7554812418
delille_B12,0,1,44,35.323782048,10.2659799144,35.0435324929,-6.9734641236,-44.1179982424
dona_sol_A1,0,1,54.2,143.2999309006,82.0629079516,75.4988563826,11.1766316796,19.7069379244
duc_de_cambridge_B6,0,1,209.6,35.7367542136,13.1593367627,3.622305498,-56.1758504381,-16.3276297058
duchesse_de_montebello_H7,0,1,110.6,144.3417450089,81.3625768157,74.2006387942,9.4075953313,32.3010274457
duchesse_de_verneuil_A7,0,1,33.4,152.6316460387,56.2694852661,61.4751567265,2.1168346935,16.2797181284
